SN,PN,DATANAME,DATA
RB234021,1259372,iRatio0-272,12407
RB234021,1259372,iRatio0-296,12411
RB234021,1259372,iRatio0-32,11345
RB234021,1259372,iRatio0-320,12412
RB234021,1259372,iRatio0-344,12491
RB234021,1259372,iRatio0-368,12609
RB234021,1259372,iRatio0-392,12726
RB234021,1259372,iRatio0-416,12871
RB234021,1259372,iRatio0-440,13019
RB234021,1259372,iRatio0-464,13113
RB234021,1259372,iRatio0-488,13103
RB234021,1259372,iRatio0-512,13094
RB234021,1259372,iRatio0-536,13181
RB234021,1259372,iRatio0-56,11368
RB234021,1259372,iRatio0-560,13317
RB234021,1259372,iRatio0-584,13452
RB234021,1259372,iRatio0-608,13483
RB234021,1259372,iRatio0-632,13515
RB234021,1259372,iRatio0-656,13543
RB234021,1259372,iRatio0-680,13570
RB234021,1259372,iRatio0-704,13594
RB234021,1259372,iRatio0-728,13587
RB234021,1259372,iRatio0-752,13563
RB234021,1259372,iRatio0-776,13539
RB234021,1259372,iRatio0-8,11322
RB234021,1259372,iRatio0-80,11425
RB234021,1259372,iRatio0-800,13623
RB234027,1259372,iRatio0-104,11723
RB234027,1259372,iRatio0-128,11781
RB234027,1259372,iRatio0-152,11922
RB234027,1259372,iRatio0-176,12105
RB234027,1259372,iRatio0-200,12288
RB234027,1259372,iRatio0-224,12274
RB234027,1259372,iRatio0-248,12260
RB234027,1259372,iRatio0-272,12316
RB234027,1259372,iRatio0-296,12511
RB234027,1259372,iRatio0-32,11599
RB234027,1259372,iRatio0-320,12706
RB234027,1259372,iRatio0-344,12730
RB234027,1259372,iRatio0-368,12668
RB234027,1259372,iRatio0-392,12606
RB234027,1259372,iRatio0-416,12600
RB234027,1259372,iRatio0-440,12594
RB234027,1259372,iRatio0-464,12592
RB234027,1259372,iRatio0-488,12599
RB234027,1259372,iRatio0-512,12606
RB234027,1259372,iRatio0-536,12513
RB234027,1259372,iRatio0-56,11627
RB234027,1259372,iRatio0-560,12371
RB234027,1259372,iRatio0-584,12228
RB234027,1259372,iRatio0-608,12096
RB234027,1259372,iRatio0-632,11965
RB234027,1259372,iRatio0-656,11854
RB234027,1259372,iRatio0-680,11786
RB234027,1259372,iRatio0-704,11718
RB234027,1259372,iRatio0-728,11685
RB234027,1259372,iRatio0-752,11669
RB234027,1259372,iRatio0-776,11652
RB234027,1259372,iRatio0-8,11570
RB234027,1259372,iRatio0-80,11665
RB234027,1259372,iRatio0-800,11361
RB234036,1259372,iRatio0-104,10975
RB234036,1259372,iRatio0-128,10947
RB234036,1259372,iRatio0-152,11235
RB234036,1259372,iRatio0-176,11679
RB234036,1259372,iRatio0-200,12124
RB234036,1259372,iRatio0-224,12192
RB234036,1259372,iRatio0-248,12260
RB234036,1259372,iRatio0-272,12378
RB234036,1259372,iRatio0-296,12599
RB234036,1259372,iRatio0-32,10820
RB234036,1259372,iRatio0-320,12819
RB234036,1259372,iRatio0-344,12949
RB234036,1259372,iRatio0-368,13034
RB234036,1259372,iRatio0-392,13120
RB234036,1259372,iRatio0-416,13259
RB234036,1259372,iRatio0-440,13399
RB234036,1259372,iRatio0-464,13487
RB234036,1259372,iRatio0-488,13476
RB234036,1259372,iRatio0-512,13464
RB234036,1259372,iRatio0-536,13477
RB234036,1259372,iRatio0-56,10935
RB234036,1259372,iRatio0-560,13502
RB234036,1259372,iRatio0-584,13528
RB234036,1259372,iRatio0-608,13752
RB234036,1259372,iRatio0-632,13977
RB234036,1259372,iRatio0-656,14146
RB234036,1259372,iRatio0-680,14203
RB234036,1259372,iRatio0-704,14260
RB234036,1259372,iRatio0-728,14203
RB234036,1259372,iRatio0-752,14088
RB234036,1259372,iRatio0-776,13974
RB234036,1259372,iRatio0-8,10705
RB234036,1259372,iRatio0-80,11003
RB234036,1259372,iRatio0-800,14183
RB234037,1259372,iRatio0-104,11183
RB234037,1259372,iRatio0-128,11330
RB234037,1259372,iRatio0-152,11471
RB234037,1259372,iRatio0-176,11606
RB234037,1259372,iRatio0-200,11742
RB234037,1259372,iRatio0-224,11850
RB234037,1259372,iRatio0-248,11957
RB234037,1259372,iRatio0-272,12079
RB234037,1259372,iRatio0-296,12230
RB234037,1259372,iRatio0-32,10822
RB234037,1259372,iRatio0-320,12380
RB234037,1259372,iRatio0-344,12518
RB234037,1259372,iRatio0-368,12650
RB234037,1259372,iRatio0-392,12781
